Area,Date,Assets,,,,,,,,
Europe,01/05/2018,4466001,,,,,,,,
Europe,01/12/2018,4472739,,,,,,,,
Europe,19/01/2018,4484003,,,,,,,,
Europe,26/01/2018,4493058,,,,,,,,
Europe,02/02/2018,4491151,,,,,,,,
Europe,02/09/2018,4493672,,,,,,,,
Europe,16/02/2018,4504781,,,,,,,,
Europe,23/02/2018,4511540,,,,,,,,
Europe,03/02/2018,4519360,,,,,,,,
Europe,03/09/2018,4530083,,,,,,,,
Europe,16/03/2018,4532642,,,,,,,,
Europe,23/03/2018,4539072,,,,,,,,
Europe,30/03/2018,4529579,,,,,,,,
Europe,04/06/2018,4531497,,,,,,,,
Europe,13/04/2018,4548153,,,,,,,,
Europe,20/04/2018,4543973,,,,,,,,
Europe,27/04/2018,4554344,,,,,,,,
Europe,05/04/2018,4552564,,,,,,,,
Europe,05/11/2018,4562061,,,,,,,,
Europe,18/05/2018,4561577,,,,,,,,
Europe,25/05/2018,4562651,,,,,,,,
Europe,06/01/2018,4567744,,,,,,,,
Europe,06/08/2018,4577214,,,,,,,,
Europe,15/06/2018,4578465,,,,,,,,
Europe,22/06/2018,4585571,,,,,,,,
Europe,29/06/2018,4592518,,,,,,,,
Europe,07/06/2018,4591235,,,,,,,,
Europe,13/07/2018,4599857,,,,,,,,
Europe,20/07/2018,4605004,,,,,,,,
Europe,27/07/2018,4612006,,,,,,,,
Europe,08/03/2018,4602258,,,,,,,,
Europe,08/10/2018,4608108,,,,,,,,
Europe,17/08/2018,4614032,,,,,,,,
Europe,24/08/2018,4619437,,,,,,,,
Europe,31/08/2018,4621355,,,,,,,,
Europe,09/07/2018,4633963,,,,,,,,
Europe,14/09/2018,4638843,,,,,,,,
Europe,21/09/2018,4645821,,,,,,,,
Europe,28/09/2018,4619792,,,,,,,,
Europe,10/05/2018,4625045,,,,,,,,
Europe,10/12/2018,4632893,,,,,,,,
Europe,19/10/2018,4628278,,,,,,,,
Europe,26/10/2018,4624792,,,,,,,,
Europe,11/02/2018,4622163,,,,,,,,
Europe,11/09/2018,4626222,,,,,,,,
Europe,16/11/2018,4638303,,,,,,,,
Europe,23/11/2018,4646891,,,,,,,,
Europe,30/11/2018,4660299,,,,,,,,
Europe,12/07/2018,4662985,,,,,,,,
Europe,14/12/2018,4668116,,,,,,,,
Europe,21/12/2018,4674919,,,,,,,,
Europe,28/12/2018,4669003,,,,,,,,
Europe,01/04/2019,4694301,,,,,,,,
Europe,01/11/2019,4703402,,,,,,,,
Europe,18/01/2019,4705948,,,,,,,,
Europe,25/01/2019,4708899,,,,,,,,
Europe,02/01/2019,4695505,,,,,,,,
Europe,02/08/2019,4696466,,,,,,,,
Europe,15/02/2019,4702787,,,,,,,,
Europe,22/02/2019,4692062,,,,,,,,
Europe,03/01/2019,4686299,,,,,,,,
Europe,03/08/2019,4691325,,,,,,,,
Europe,15/03/2019,4680588,,,,,,,,
Europe,22/03/2019,4676984,,,,,,,,
Europe,29/03/2019,4695785,,,,,,,,
Europe,04/05/2019,4699605,,,,,,,,
Europe,04/12/2019,4701826,,,,,,,,
Europe,19/04/2019,4707931,,,,,,,,
Europe,26/04/2019,4697616,,,,,,,,
Europe,05/03/2019,4683918,,,,,,,,
Europe,05/10/2019,4685377,,,,,,,,
Europe,17/05/2019,4684866,,,,,,,,
Europe,24/05/2019,4692616,,,,,,,,
Europe,31/05/2019,4685961,,,,,,,,
Europe,06/07/2019,4690441,,,,,,,,
Europe,14/06/2019,4681351,,,,,,,,
Europe,21/06/2019,4682680,,,,,,,,
Europe,28/06/2019,4692614,,,,,,,,
Europe,07/05/2019,4677463,,,,,,,,
Europe,07/12/2019,4684376,,,,,,,,
Europe,19/07/2019,4688182,,,,,,,,
Europe,26/07/2019,4685716,,,,,,,,
Europe,08/02/2019,4679180,,,,,,,,
Europe,08/09/2019,4677751,,,,,,,,
Europe,16/08/2019,4676077,,,,,,,,
Europe,23/08/2019,4681001,,,,,,,,
Europe,30/08/2019,4683714,,,,,,,,
Europe,09/06/2019,4681637,,,,,,,,
Europe,13/09/2019,4674603,,,,,,,,
Europe,20/09/2019,4662978,,,,,,,,
Europe,27/09/2019,4638104,,,,,,,,
Europe,10/04/2019,4695111,,,,,,,,
Europe,10/11/2019,4692260,,,,,,,,
Europe,18/10/2019,4687115,,,,,,,,
Europe,25/10/2019,4680875,,,,,,,,
Europe,11/01/2019,4676258,,,,,,,,
Europe,11/08/2019,4684135,,,,,,,,
Europe,15/11/2019,4691919,,,,,,,,
Europe,22/11/2019,4696531,,,,,,,,
Europe,29/11/2019,4698291,,,,,,,,
Europe,12/06/2019,4709281,,,,,,,,
Europe,13/12/2019,4713568,,,,,,,,
Europe,20/12/2019,4682592,,,,,,,,
Europe,27/12/2019,4691998,,,,,,,,
Europe,01/03/2020,4664037,,,,,,,,
Europe,01/10/2020,4655772,,,,,,,,
Europe,17/01/2020,4660340,,,,,,,,
Europe,24/01/2020,4674369,,,,,,,,
Europe,31/01/2020,4671365,,,,,,,,
Europe,02/07/2020,4668900,,,,,,,,
Europe,14/02/2020,4679726,,,,,,,,
Europe,21/02/2020,4688301,,,,,,,,
Europe,28/02/2020,4691852,,,,,,,,
Europe,03/06/2020,4702214,,,,,,,,
Europe,13/03/2020,4704239,,,,,,,,
Europe,20/03/2020,4927267,,,,,,,,
Europe,27/03/2020,5062687,,,,,,,,
Europe,04/03/2020,5199822,,,,,,,,
Europe,04/10/2020,5257490,,,,,,,,
Europe,17/04/2020,5282926,,,,,,,,
Europe,24/04/2020,5347042,,,,,,,,
Europe,05/01/2020,5395184,,,,,,,,
Europe,05/08/2020,5451001,,,,,,,,
Europe,15/05/2020,5505521,,,,,,,,
Europe,22/05/2020,5555276,,,,,,,,
Europe,29/05/2020,5596070,,,,,,,,
Europe,06/05/2020,5655414,,,,,,,,
Europe,06/12/2020,5630275,,,,,,,,
Europe,19/06/2020,5636378,,,,,,,,
Europe,26/06/2020,6236143,,,,,,,,
