Area,Date,Assets,,,,,,,Date,Total Assets
Europe,03-Jan-18,4466001,,,,,,,,
Europe,10-Jan-18,4472739,,,,,,,,
Europe,17-Jan-18,4484003,,,,,,,,
Europe,24-Jan-18,4493058,,,,,,,,
Europe,31-Jan-18,4491151,,,,,,,,
Europe,07-Feb-18,4493672,,,,,,,,
Europe,14-Feb-18,4504781,,,,,,,,
Europe,21-Feb-18,4511540,,,,,,,,
Europe,28-Feb-18,4519360,,,,,,,,
Europe,07-Mar-18,4530083,,,,,,,,
Europe,14-Mar-18,4532642,,,,,,,,
Europe,21-Mar-18,4539072,,,,,,,,
Europe,28-Mar-18,4529579,,,,,,,,
Europe,04-Apr-18,4531497,,,,,,,,
Europe,11-Apr-18,4548153,,,,,,,,
Europe,18-Apr-18,4543973,,,,,,,,
Europe,25-Apr-18,4554344,,,,,,,,
Europe,02-May-18,4552564,,,,,,,,
Europe,09-May-18,4562061,,,,,,,,
Europe,16-May-18,4561577,,,,,,,,
Europe,23-May-18,4562651,,,,,,,,
Europe,30-May-18,4567744,,,,,,,,
Europe,06-Jun-18,4577214,,,,,,,,
Europe,13-Jun-18,4578465,,,,,,,,
Europe,20-Jun-18,4585571,,,,,,,,
Europe,27-Jun-18,4592518,,,,,,,,
Europe,04-Jul-18,4591235,,,,,,,,
Europe,11-Jul-18,4599857,,,,,,,,
Europe,18-Jul-18,4605004,,,,,,,,
Europe,25-Jul-18,4612006,,,,,,,,
Europe,01-Aug-18,4602258,,,,,,,,
Europe,08-Aug-18,4608108,,,,,,,,
Europe,15-Aug-18,4614032,,,,,,,,
Europe,22-Aug-18,4619437,,,,,,,,
Europe,29-Aug-18,4621355,,,,,,,,
Europe,05-Sep-18,4633963,,,,,,,,
Europe,12-Sep-18,4638843,,,,,,,,
Europe,19-Sep-18,4645821,,,,,,,,
Europe,26-Sep-18,4619792,,,,,,,,
Europe,03-Oct-18,4625045,,,,,,,,
Europe,10-Oct-18,4632893,,,,,,,,
Europe,17-Oct-18,4628278,,,,,,,,
Europe,24-Oct-18,4624792,,,,,,,,
Europe,31-Oct-18,4622163,,,,,,,,
