Date,Unemployment,Inflation,Interest Rates,Credit Spread,Industrial Production,SP500,Consumer Sentiment
01/04/2018,4,250.275,2.25,2.254761905,103.4095,2653.625238,98.8
01/05/2018,3.8,250.786,2.25,2.335652174,102.5408,2701.493636,98
01/06/2018,4,251.152,2.5,2.401818182,103.3045,2754.352857,98.2
01/07/2018,3.8,251.345,2.5,2.495,103.5474,2793.643333,97.9
01/08/2018,3.8,251.735,2.5,2.304347826,104.1659,2857.820435,96.2
01/09/2018,3.7,252.183,2.75,2.177142857,104.1315,2901.500526,100.1
01/10/2018,3.8,252.899,2.75,2.335652174,103.9874,2785.464783,98.6
01/11/2018,3.8,252.822,2.75,2.632727273,103.9127,2723.229524,97.5
01/12/2018,3.9,252.493,3,3.1535,103.867,2567.307368,98.3
01/01/2019,4,252.441,3,2.955,103.3023,2607.39,91.2
01/02/2019,3.8,252.969,3,2.529,102.728,2754.864211,93.8
01/03/2019,3.8,254.147,3,2.42,102.8635,2803.98381,98.4
01/04/2019,3.6,255.326,3,2.241428571,102.2543,2903.8,97.2
01/05/2019,3.6,255.371,3,2.532608696,102.4519,2854.705909,100
01/06/2019,3.6,255.423,3,2.556666667,102.384,2890.166,98.2
01/07/2019,3.7,255.925,3,2.358695652,102.0568,2996.113636,98.4
01/08/2019,3.7,256.118,2.75,2.551304348,102.6882,2897.498182,89.8
01/09/2019,3.5,256.532,2.5,2.269047619,102.3143,2982.156,93.2
01/10/2019,3.6,257.387,2.25,2.336956522,101.4645,2977.675217,95.5
01/11/2019,3.6,257.989,2.25,2.26047619,101.9876,3104.9045,96.8
01/12/2019,3.6,258.203,2.25,2.032380952,101.6179,3176.749524,99.3
01/01/2020,3.5,258.687,2.25,2.034090909,101.0918,3278.202857,99.8
