DATE,MICH
01/06/09,3.1
01/07/09,2.9
01/08/09,2.8
01/09/09,2.2
01/10/09,2.9
01/11/09,2.7
01/12/09,2.5
01/01/10,2.8
01/02/10,2.7
01/03/10,2.7
01/04/10,2.9
01/05/10,3.2
01/06/10,2.8
01/07/10,2.7
01/08/10,2.7
01/09/10,2.2
01/10/10,2.7
01/11/10,3
01/12/10,3
01/01/11,3.4
01/02/11,3.4
01/03/11,4.6
01/04/11,4.6
01/05/11,4.1
01/06/11,3.8
01/07/11,3.4
01/08/11,3.5
01/09/11,3.3
01/10/11,3.2
01/11/11,3.2
01/12/11,3.1
01/01/12,3.3
01/02/12,3.3
01/03/12,3.9
01/04/12,3.2
01/05/12,3
01/06/12,3.1
01/07/12,3
01/08/12,3.6
01/09/12,3.3
01/10/12,3.1
01/11/12,3.1
01/12/12,3.2
01/01/13,3.3
01/02/13,3.3
01/03/13,3.2
01/04/13,3.1
01/05/13,3.1
01/06/13,3
01/07/13,3.1
01/08/13,3
01/09/13,3.3
01/10/13,3
01/11/13,2.9
01/12/13,3
01/01/14,3.1
01/02/14,3.2
01/03/14,3.2
01/04/14,3.2
01/05/14,3.3
01/06/14,3.1
01/07/14,3.3
01/08/14,3.2
01/09/14,3
01/10/14,2.9
01/11/14,2.8
01/12/14,2.8
01/01/15,2.5
01/02/15,2.8
01/03/15,3
01/04/15,2.6
01/05/15,2.8
01/06/15,2.7
01/07/15,2.8
01/08/15,2.8
01/09/15,2.8
01/10/15,2.7
01/11/15,2.7
01/12/15,2.6
01/01/16,2.5
01/02/16,2.5
01/03/16,2.7
01/04/16,2.8
01/05/16,2.4
01/06/16,2.6
01/07/16,2.7
01/08/16,2.5
01/09/16,2.4
01/10/16,2.4
01/11/16,2.4
01/12/16,2.2
01/01/17,2.6
01/02/17,2.7
01/03/17,2.5
01/04/17,2.5
01/05/17,2.6
01/06/17,2.6
01/07/17,2.6
01/08/17,2.6
01/09/17,2.7
01/10/17,2.4
01/11/17,2.5
01/12/17,2.7
01/01/18,2.7
01/02/18,2.7
01/03/18,2.8
01/04/18,2.7
01/05/18,2.8
01/06/18,3
01/07/18,2.9
01/08/18,3
01/09/18,2.7
01/10/18,2.9
01/11/18,2.8
01/12/18,2.7
01/01/19,2.7
01/02/19,2.6
01/03/19,2.5
01/04/19,2.5
01/05/19,2.9
01/06/19,2.7
01/07/19,2.6
01/08/19,2.7
01/09/19,2.8
01/10/19,2.5
01/11/19,2.5
01/12/19,2.3
01/01/20,2.5
01/02/20,2.4
01/03/20,2.2
01/04/20,2.1
01/05/20,3.2
01/06/20,3
01/07/20,3
01/08/20,3.1
01/09/20,2.6
01/10/20,2.6
01/11/20,2.8
01/12/20,2.5
01/01/21,3
01/02/21,3.3
01/03/21,3.1
01/04/21,3.4
01/05/21,4.6
01/06/21,4.2
01/07/21,4.7
01/08/21,4.6
01/09/21,4.6
