Date,MICH,
01 September 2021,4.6,
01 August 2021,4.6,
01 July 2021,4.7,
01 June 2021,4.2,
01 May 2021,4.6,
01 April 2021,3.4,
01 March 2021,3.1,
01 February 2021,3.3,
01 January 2021,3,
01 December 2020,2.5,
01 November 2020,2.8,
01 October 2020,2.6,
01 September 2020,2.6,
01 August 2020,3.1,
01 July 2020,3,
01 June 2020,3,
01 May 2020,3.2,
01 April 2020,2.1,
01 March 2020,2.2,
01 February 2020,2.4,
01 January 2020,2.5,
01 December 2019,2.3,
01 November 2019,2.5,
01 October 2019,2.5,
01 September 2019,2.8,
01 August 2019,2.7,
01 July 2019,2.6,
01 June 2019,2.7,
01 May 2019,2.9,
01 April 2019,2.5,
01 March 2019,2.5,
01 February 2019,2.6,
01 January 2019,2.7,
01 December 2018,2.7,
01 November 2018,2.8,
01 October 2018,2.9,
01 September 2018,2.7,
01 August 2018,3,
01 July 2018,2.9,
01 June 2018,3,
01 May 2018,2.8,
01 April 2018,2.7,
01 March 2018,2.8,
01 February 2018,2.7,
01 January 2018,2.7,
01 December 2017,2.7,
01 November 2017,2.5,
01 October 2017,2.4,
01 September 2017,2.7,
01 August 2017,2.6,
01 July 2017,2.6,
01 June 2017,2.6,
01 May 2017,2.6,
01 April 2017,2.5,
01 March 2017,2.5,
01 February 2017,2.7,
01 January 2017,2.6,
01 December 2016,2.2,
01 November 2016,2.4,
01 October 2016,2.4,
01 September 2016,2.4,
01 August 2016,2.5,
01 July 2016,2.7,
01 June 2016,2.6,
01 May 2016,2.4,
01 April 2016,2.8,
01 March 2016,2.7,
01 February 2016,2.5,
01 January 2016,2.5,
01 December 2015,2.6,
01 November 2015,2.7,
01 October 2015,2.7,
01 September 2015,2.8,
01 August 2015,2.8,
01 July 2015,2.8,
01 June 2015,2.7,
01 May 2015,2.8,
01 April 2015,2.6,
01 March 2015,3,
01 February 2015,2.8,
01 January 2015,2.5,
01 December 2014,2.8,
01 November 2014,2.8,
01 October 2014,2.9,
01 September 2014,3,
01 August 2014,3.2,
01 July 2014,3.3,
01 June 2014,3.1,
01 May 2014,3.3,
01 April 2014,3.2,
01 March 2014,3.2,
01 February 2014,3.2,
01 January 2014,3.1,
01 December 2013,3,
01 November 2013,2.9,
01 October 2013,3,
01 September 2013,3.3,
01 August 2013,3,
01 July 2013,3.1,
01 June 2013,3,
01 May 2013,3.1,
01 April 2013,3.1,
01 March 2013,3.2,
01 February 2013,3.3,
01 January 2013,3.3,
01 December 2012,3.2,
01 November 2012,3.1,
01 October 2012,3.1,
01 September 2012,3.3,
01 August 2012,3.6,
01 July 2012,3,
01 June 2012,3.1,
01 May 2012,3,
01 April 2012,3.2,
01 March 2012,3.9,
01 February 2012,3.3,
01 January 2012,3.3,
01 December 2011,3.1,
01 November 2011,3.2,
01 October 2011,3.2,
01 September 2011,3.3,
01 August 2011,3.5,
01 July 2011,3.4,
01 June 2011,3.8,
01 May 2011,4.1,
01 April 2011,4.6,
01 March 2011,4.6,
01 February 2011,3.4,
01 January 2011,3.4,
01 December 2010,3,
01 November 2010,3,
01 October 2010,2.7,
01 September 2010,2.2,
01 August 2010,2.7,
01 July 2010,2.7,
01 June 2010,2.8,
01 May 2010,3.2,
01 April 2010,2.9,
01 March 2010,2.7,
01 February 2010,2.7,
01 January 2010,2.8,
01 December 2009,2.5,
01 November 2009,2.7,
01 October 2009,2.9,
01 September 2009,2.2,
01 August 2009,2.8,
01 July 2009,2.9,
01 June 2009,3.1,
