DATE,SP500,PE Ratio,,,,,,,,
01/02/2012,1352.4875,21.8,,,,,,,,
01/03/2012,1389.24,22.05,,,,,,,,
01/04/2012,1386.429,21.78,,,,,,,,
01/05/2012,1341.272727,20.94,,,,,,,,
01/06/2012,1323.484286,20.55,,,,,,,,
01/07/2012,1359.77619,21,,,,,,,,
01/08/2012,1403.440435,21.41,,,,,,,,
01/09/2012,1443.419474,21.78,,,,,,,,
01/10/2012,1437.816667,21.58,,,,,,,,
01/11/2012,1394.512381,20.9,,,,,,,,
01/12/2012,1422.2855,21.24,,,,,,,,
01/01/2013,1480.395238,21.9,,,,,,,,
01/02/2013,1512.311579,22.05,,,,,,,,
01/03/2013,1550.829,22.42,,,,,,,,
01/04/2013,1570.702273,22.6,,,,,,,,
01/05/2013,1639.842727,23.41,,,,,,,,
01/06/2013,1618.7725,22.93,,,,,,,,
01/07/2013,1668.675455,23.49,,,,,,,,
01/08/2013,1670.093636,23.36,,,,,,,,
01/09/2013,1687.1735,23.44,,,,,,,,
01/10/2013,1720.026522,23.83,,,,,,,,
01/11/2013,1783.541,24.64,,,,,,,,
01/12/2013,1807.775238,24.86,,,,,,,,
01/01/2014,1822.356667,24.86,,,,,,,,
01/02/2014,1817.034737,24.59,,,,,,,,
01/03/2014,1863.523333,24.96,,,,,,,,
01/04/2014,1864.263333,24.79,,,,,,,,
01/05/2014,1889.767143,24.94,,,,,,,,
01/06/2014,1947.087619,25.56,,,,,,,,
01/07/2014,1973.1,25.82,,,,,,,,
01/08/2014,1961.531905,25.62,,,,,,,,
01/09/2014,1993.22619,25.92,,,,,,,,
01/10/2014,1937.274348,25.16,,,,,,,,
01/11/2014,2044.572105,26.61,,,,,,,,
01/12/2014,2054.266364,26.79,,,,,,,,
01/01/2015,2028.1785,26.49,,,,,,,,
01/02/2015,2082.195789,27,,,,,,,,
01/03/2015,2079.990455,26.73,,,,,,,,
01/04/2015,2094.862857,26.79,,,,,,,,
01/05/2015,2111.9435,26.81,,,,,,,,
01/06/2015,2099.283636,26.5,,,,,,,,
01/07/2015,2094.143636,26.38,,,,,,,,
01/08/2015,2039.86619,25.69,,,,,,,,
01/09/2015,1944.402381,24.5,,,,,,,,
01/10/2015,2024.812727,25.49,,,,,,,,
01/11/2015,2080.6165,26.23,,,,,,,,
01/12/2015,2054.079545,25.97,,,,,,,,
01/01/2016,1918.597895,24.21,,,,,,,,
01/02/2016,1904.4185,24,,,,,,,,
01/03/2016,2021.954091,25.37,,,,,,,,
01/04/2016,2075.535238,25.92,,,,,,,,
01/05/2016,2065.550952,25.69,,,,,,,,
01/06/2016,2083.891364,25.84,,,,,,,,
01/07/2016,2148.902,26.69,,,,,,,,
01/08/2016,2177.482174,26.95,,,,,,,,
01/09/2016,2157.690952,26.73,,,,,,,,
01/10/2016,2143.020952,26.53,,,,,,,,
01/11/2016,2164.985714,26.85,,,,,,,,
