SP500,USA
2719.0025,4443718
2760.206,4446062
2796.8275,4439145
2844.352,4441317
2816.776,4419225
2645.258,4420745
2696.198,4434863
2717.2125,4411660
2721.326,4393401
2740.28,4396097
2759.43,4407258
2674.748,4401222
2629.26,4392198
2621.666,4386104
2646.502,4383684
2691.228,4385903
2656.22,4372886
2646.334,4356129
2698.626,4358207
2719.428,4337609
2727.966,4337301
2713.44,4327519
2763.484,4319191
2781.326,4324906
2761.66,4315896
2714.888,4305491
2734.09,4289764
2790.326,4291201
2805.984,4291615
2825.942,4277681
2819.964,4255653
2850.682,4258030
2834.216,4228924
2862.7,4228818
2902.19,4218914
2883.7625,4208496
2892.62,4210812
2912.296,4208059
2913.776,4192909
2912.142,4174704
2809.19,4176906
2781.296,4175446
2703.386,4173070
2699.81,4139731
2779.098,4141936
2723.29,4145892
2653.7775,4106198
2719.468,4097170
2704.865,4086044
2635.212,4088314
2496.62,4084274
2448.3425,4075636
2499.1775,4058378
2580.392,4056563
2623.136,4050044
2644.6725,4047052
2675.106,4039678
2721.622,4026350
2745.778,4028431
2783.0025,3981420
2794.114,3974590
2769.182,3969134
2803.34,3971559
2829.066,3962748
2814.406,3955617
2875.992,3935509
2891.582,3936784
2904.53,3931827
2926.99,3928273
2935.15,3889691
2889.612,3892216
2846.618,3864749
2841.832,3860435
2781.5825,3851444
2818.14,3847645
2886.182,3849955
2927.704,3844016
2928.638,3826817
2980.8925,3813198
2992.466,3815038
2994.896,3808110
3007.918,3803436
2980.028,3779102
2893.446,3781543
2877.39,3786018
2903.73,3764866
2897.304,3759946
2949.69,3761508
2995.142,3769673
3001.85,3844695
2976.532,3857715
2933.448,3945831
2931.93,3949955
2987.134,3966471
3008.014,3968700
3045.51,4019823
3081.586,4039443
3097.996,4047882
3112.9,4030249
3142.1925,4052875
3116.634,4065696
3149.496,4095491
3200.34,4137052
3231.83,4165591
3236.1925,4173626
3255.312,4149544
3301.4,4175850
3315.8875,4145912
3260.49,4151630
3310.938,4166707
3368.678,4182689
3366.855,4171570
3080.694,4158637
3044.006,4241507
2712.366,4311911
2405.546,4668212
2466.366,5254278
2539.458,5811607
2715.7225,6083141
2813.032,6367887
2798.714,6573136
2884.904,6655929
2874.118,6721420
2867.328,6934227
2950.484,7037258
3025.485,7097316
3113.14,7165217
3134.624,7168936
3103.58,7094690
3078.458,7082302
3099.85,7009040
3166.414,6920716
3203.92,6958604
3247.29,6964755
3246.726,6949032
3325.866,6945237
3364.158,6957277
3385.858,7010637
3469.238,6990418
3497.964,7017492
3352.74,7010614
3369.342,7064475
3275.72,7093161
3355.862,7056129
3422.598,7074649
3500.394,7151426
3444.896,7177265
3328.55,7146306
3428.546,7157479
3558.17,7175417
3588.728,7243080
3620.25,7216480
3663.786,7222414
3679.718,7242658
3695.034,7362592
3693.8125,7404039
3737.6275,7363351
3760.824,7334809
3794.886,7333968
3836.325,7414942
3791.474,7404926
3837.782,7410598
3917.582,7442225
3921.15,7557402
3864.758,7590111
3840.448,7557524
3895.656,7579901
3946.866,7693506
3924.862,7719622
3980.6,7688988
4091.554,7708882
4150.026,7793104
4157.354,7820948
4190.032,7780962
4191.826,7810486
4137.984,7830663
4144.356,7922883
4197.232,7903541
4208.225,7935703
4231.99,7952327
4222.75,8064257
4252.052,8101945
4310.438,8078544
4348.01,8097773
4363.066,8201651
4343.902,8240530
4407.762,8221473
4415.718,8235073
4449.126,8257159
4435.106,8342598
4488.264,8332743
4529.588,8349173
4496.49,8357314
4459.844,8448770
4402.404,8489824
4363.956,8447981
4360.166,8464032
4397.054,8480942
4527.392,8564943
4578.95,8556181
4656.496,8574871
4673.156,8663117
4694.974,8674970
4667.43,8681771
4570.168,8650402
4671.82,8664524
4660.444,8756666
4659.9,8790495
,
,
